rtt_mean,rtt_var,rssi_mean,rssi_var,gmm_mean_1,gmm_mean_2,gmm_var_1,gmm_var_2,gmm_weight_1,gmm_weight_2,label
1.865,0.766775,42.54,0.2883999999999999,2.8595548976308027,1.5558821749893124,0.4320701329657576,0.46781752710661584,0.23711305732036636,0.7628869426796336,2
1.89,1.1479000000000001,42.525,0.249375,2.2892713536442657,1.0,1.148102203717085,1e-06,0.6903123981497893,0.30968760185021066,2
1.885,0.961775,42.0,0.0,2.291437279932488,1.0,0.8785840327714138,1e-06,0.6852829895434521,0.31471701045654793,2
1.845,0.930975,42.0,0.0,2.260652902292982,1.0,0.864925702865673,1e-06,0.6702875934073863,0.3297124065926137,2
1.88,0.8656,42.0,0.0,2.2936331275075976,1.0,0.7373760690427097,1e-06,0.6802546883562506,0.3197453116437494,2
1.82,0.9075999999999997,41.995,0.02497499999999999,2.2807272048121345,1.0,0.8274814897847992,1e-06,0.6402612491707679,0.3597387508292321,2
1.86,0.8203999999999999,42.575,0.344375,2.3239587945323086,0.8602461778636846,0.4542497062399014,0.14604368750135546,0.683026033082731,0.3169739669172689,2
1.855,1.033975,42.82,0.1476,1.727050212928386,2.5182059641824885,0.7034963142596005,2.2222620420937833,0.8382748442783909,0.16172515572160906,2
1.94,0.7563999999999999,42.595,0.240975,1.5580603154568813,2.9999999999999956,0.4782134055180525,1e-06,0.7351209009382821,0.2648790990617179,2
1.955,0.7629749999999998,42.86,0.12039999999999998,0.8836978119415921,2.3729199301004247,0.11265971078487204,0.394291783612535,0.28062968243925057,0.7193703175607494,2
1.915,0.897775,42.235,0.249775,2.3652281691389274,1.0,0.7248643832999951,1e-06,0.6702176388413559,0.3297823611586441,2
1.865,0.8167749999999999,42.095,0.115975,2.319705945105939,0.8581835717055203,0.4536609765463221,0.14930575946129168,0.6888819812946112,0.31111801870538885,2
1.98,0.7796000000000001,42.135,0.126775,1.949499455056672,4.999999999999995,0.6944326554126937,1e-06,0.9900014622210486,0.00999853777895144,2
1.855,0.9239750000000001,42.215,0.23877500000000004,2.7661088723347484,1.5867761225875756,0.7703889527190062,0.652865715531785,0.2274369786389159,0.772563021361084,2
1.84,0.9544000000000002,42.805,0.2569749999999999,1.5028566191133985,2.906618013430769,0.5674005365183047,0.6814743060963044,0.7598285704027687,0.2401714295972313,2
1.89,0.8379000000000001,42.21,0.3158999999999999,4.5283135968887365,1.8444593469137323,0.3144107250729637,0.7247126335793939,0.01696837787919925,0.9830316221208008,2
1.955,1.0229749999999997,42.0,0.0,2.3735940663855306,1.0,0.8963864334145496,1e-06,0.695256352200897,0.3047436477991031,2
1.89,1.1479000000000001,42.365,0.27177499999999993,0.9469725675225199,2.152542260360648,0.26722134889033516,1.0765724195274144,0.2177744363684002,0.7822255636315999,2
1.93,0.9051,42.21,0.2958999999999999,1.0,2.337657978878176,1e-06,0.7565373171504081,0.30475501609167344,0.6952449839083266,2
1.985,0.814775,42.24,1.0523999999999998,1.0,2.3676787837246183,1e-06,0.6079396318068521,0.2798016524629156,0.7201983475370844,2
1.755,0.8149749999999999,42.54,0.2983999999999999,2.2131628678057877,0.8705854046474233,0.5517626229245128,0.13567478318059684,0.65874381152803,0.34125618847197,2
1.895,0.8139750000000001,41.995,0.004975000000000002,2.7145086478481444,1.6571173877398355,0.7864911778447988,0.5704191528789778,0.22497122988873183,0.7750287701112683,2
